trial,tipo de oferta,sujeto,respuesta
1,3,1,2
2,1,1,1
3,2,1,2
4,3,1,2
5,1,1,1
6,1,1,1
7,1,1,2
8,2,1,1
9,2,1,1
10,3,1,2
11,1,1,1
12,2,1,2
13,3,1,2
14,1,1,1
15,2,1,2
16,2,1,2
17,2,1,1
18,3,1,2
19,1,1,1
20,3,1,2
21,1,1,1
22,3,1,2
23,2,1,2
24,1,1,1
25,3,1,2
26,1,1,1
27,3,1,2
28,1,1,1
29,2,1,2
30,1,1,1
31,3,1,2
32,2,1,2
33,2,1,2
34,1,1,1
35,2,1,2
36,1,1,1
37,2,1,2
38,2,1,2
39,1,1,1
40,3,1,2
41,1,1,1
42,2,1,1
43,3,1,2
44,3,1,2
45,3,1,2
46,1,1,2
47,3,1,2
48,3,1,2
49,1,1,1
50,3,1,2
51,1,1,1
52,2,1,2
53,1,1,2
54,3,1,2
55,3,1,2
56,2,1,2
57,2,1,2
58,2,1,2
59,3,1,2
60,2,1,2
1,3,2,[]
2,1,2,1
3,2,2,1
4,3,2,2
5,1,2,1
6,1,2,1
7,1,2,1
8,2,2,1
9,2,2,1
10,3,2,2
11,1,2,1
12,2,2,2
13,3,2,2
14,1,2,1
15,2,2,2
16,2,2,1
17,2,2,2
18,3,2,2
19,1,2,1
20,3,2,2
21,1,2,1
22,3,2,2
23,2,2,1
24,1,2,1
25,3,2,2
26,1,2,1
27,3,2,2
28,1,2,1
29,2,2,2
30,1,2,1
31,3,2,2
32,2,2,1
33,2,2,2
34,1,2,1
35,2,2,2
36,1,2,1
37,2,2,2
38,2,2,2
39,1,2,1
40,3,2,2
41,1,2,1
42,2,2,1
43,3,2,2
44,3,2,2
45,3,2,2
46,1,2,1
47,3,2,2
48,3,2,2
49,1,2,1
50,3,2,2
51,1,2,1
52,2,2,2
53,1,2,1
54,3,2,2
55,3,2,2
56,2,2,2
57,2,2,1
58,2,2,1
59,3,2,2
60,2,2,[]
1,3,6,2
2,1,6,1
3,2,6,2
4,3,6,2
5,1,6,1
6,1,6,1
7,1,6,1
8,2,6,2
9,2,6,2
10,3,6,2
11,1,6,1
12,2,6,2
13,3,6,2
14,1,6,1
15,2,6,2
16,2,6,2
17,2,6,1
