sujeto,sexo,num_sexo,autoestima,num_autoestima
1,M,1,alta,1
2,H,2,baja,2
6,H,2,alta,1
7,M,1,alta,1
8,M,1,baja,2
10,M,1,baja,2
11,M,1,alta,1
12,H,2,baja,2
13,M,1,baja,2
14,H,2,baja,2
15,H,2,alta,1
16,H,2,baja,2
17,H,2,baja,2
18,H,2,alta,1
21,M,1,baja,2
22,H,2,alta,1
24,H,2,alta,1
26,M,1,alta,1
27,H,2,alta,1
28,M,1,alta,1
29,M,1,baja,2
32,M,1,alta,1
33,M,1,alta,1
34,M,1,alta,1
36,M,1,alta,1
37,M,1,baja,2
38,H,2,baja,2
40,M,1,alta,1
41,M,1,alta,1
42,M,1,baja,2
47,M,1,alta,1
48,M,1,baja,2
49,M,1,alta,1
59,M,1,baja,2
60,M,1,baja,2
61,H,2,alta,1
63,M,1,alta,1
64,M,1,alta,1
65,M,1,baja,2
67,H,2,baja,2
68,H,2,alta,1
69,H,2,baja,2
70,H,2,baja,2
71,H,2,alta,1
72,H,2,baja,2
73,M,1,baja,2
74,H,2,alta,1
75,H,2,baja,2
76,H,2,alta,1
77,M,1,alta,1
78,H,2,alta,1
79,H,2,baja,2
82,M,1,baja,2
83,H,2,alta,1
84,M,1,alta,1
86,M,1,baja,2
89,M,1,baja,2
90,M,1,alta,1
91,M,1,baja,2
92,M,1,baja,2
93,M,1,baja,2
94,H,2,alta,1
95,M,1,alta,1
96,M,1,alta,1
97,H,2,baja,2
98,H,2,alta,1
103,H,2,baja,2
104,M,1,alta,1
107,M,1,alta,1
108,M,1,alta,1
110,H,2,alta,1
111,H,2,alta,1
112,M,1,baja,2
